id,author,text,like_count,timestamp,parent
UgxMDpTNAL9wTzczUYp4AaABAg,@Yanamarre1789,"JE SUIS CONTENT POUR LUI , IL ME SEMBLE HUMBLE , J ESPÈRE QU IL LE RESTERA SURTOUT DANS LE MONDE DU FOOT OU TIUT SE PERD",0,1758758400,root
UgyfSmy318kXYbgNLI94AaABAg,@yaniskavena,❤❤❤❤❤👍🏽👍🏽🏆🏆🏆👏🏾,0,1758758400,root
Ugw_W_E2BJqhcW11P3B4AaABAg,@glr4764,Corruption; bought with Qatari oil money,0,1758758400,root
UgzUlte8gU9Cwe2m8iB4AaABAg,@すもももももももものうち-l8z,おめでとう🎉,0,1758758400,root
Ugxu0VLF4Qg6_y8rUnB4AaABAg,@LaurentFiguradelToreo,"Mdr Dembele est incroyablement NUUUUUL.
Il rate absolument tout.
Il devrait être remplaçant dans une équipe de CFA2 et ce mec est ballon d'or.
Le monde a l'envers",0,1758758400,root
UgxLICyupxsDfK2Iu7R4AaABAg,@Lyra3001,On l’entends plus yamal 🤣🤣🤣,0,1758758400,root
Ugzb0W27tMJjAjw1O5F4AaABAg,@sibelunal2708,Bien joué frero,0,1758758400,root
Ugxp1poAmfPGpXRRKap4AaABAg,@SimplyDiana,"Félicitations Ousmane! Quelle fierté. Consécration amplement méritée, merci de nous faire rêver et de rester humble. Un grand champion ! 🏆❤️💙",0,1758758400,root
Ugyb3Hx3995T-tD4tO54AaABAg,@alassd.4455,Les frissons purée ! Merci Ousmane ! Trop content vraiment 🏆🙏🏿,1,1758758400,root
Ugx0GPopK5ZVjffCubF4AaABAg,@KenaLuyeye,Ce fort,0,1758758400,root
Ugz0s-6NiAOeC7W5bOx4AaABAg,@Morganboy125,Dembelee,0,1758758400,root
Ugy9H8D1J6HxfnRjmDt4AaABAg,@AntonNaev,"если это лучший игрок на данный моммент в мире, значит наш футбол в очень плачевном состоянии",1,1758758400,root
Ugy9H8D1J6HxfnRjmDt4AaABAg.ANSFtZ5ltNXANSMtHXnzbn,@LaurentFiguradelToreo,"Il est pas mauvais, il est NUUUUUL !
Il devrait être remplaçant dans un club de CFA2 dans un monde normal mais on l'a consacré ballon d'or.
Je ne l'ai JAMAIS vu faire un truc bien sûr un terrain.",0,1758758400,Ugy9H8D1J6HxfnRjmDt4AaABAg
UgzuwKeuNLaRfWMwdnN4AaABAg,@NibrownNibrown,Toujours être reconnaissant merci,0,1758758400,root
UgwNg2LDdmoSuyGHEiJ4AaABAg,@tetsuoshima2237,Qu'il retourne au Sénégal.,0,1758758400,root
UgwNg2LDdmoSuyGHEiJ4AaABAg.ANSFOBy4IP5ANSFdt9_v6a,@MaxKps,Tu racontes quoi toi ? T'es jaloux c'est ça ? C'est un français pure souche car il est né a Évreux dans le 91... Donc avant de dire des choses mauvaises reste dans ton coin et viens pas parler juste pour dire ça.,1,1758758400,UgwNg2LDdmoSuyGHEiJ4AaABAg
